player_id,player_name_x,player_display_name,position,position_group,headshot_url,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,player,offense_snaps,offense_pct,snap_share,rolling_target_share,rolling_snap_share,rolling_air_yards_share,player_name_y,ecr,next_week_points,points_jump,rolling_points,points_trend,target_share_trend,snap_share_trend,score_points_jump,score_points_trend,score_target_trend,score_snap_trend,score_floor,sleeper_score,is_sleeper
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,7,REG,2025_07_LA_JAX,LA,JAX,21,33,182,5,0,0,0,0,0,363,65,14,8.782921106321737,4.221847292148706,0,0.5013774104683195,2,1,0,0,0,0,-0.3499063071794808,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,27.380000000000003,27.380000000000003,matthew stafford,67.0,0.96,0.96,0.0,0.99,1.0,matthew stafford,101.35,26.840000000000003,-0.5399999999999991,20.76,-0.006666666666664156,0.0,-0.010000000000000009,0,0,0,0,1,1,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,9,REG,2025_09_NO_LA,LA,NO,24,32,281,4,0,2,-14,0,0,319,105,14,11.838741028613722,12.67982307941683,0,0.8808777429467085,4,-4,0,0,0,0,-3.127842922636773,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,26.840000000000003,26.840000000000003,matthew stafford,80.0,1.0,1.0,0.0,0.99,1.0,matthew stafford,101.35,26.9,0.05999999999999517,21.186666666666667,0.42666666666666586,0.0,0.0,0,1,0,0,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,10,REG,2025_10_LA_SF,LA,SF,24,36,280,4,0,1,-5,0,0,332,142,20,22.63015853331308,10.5948607711231,0,0.8433734939759037,3,-3,0,0,0,0,-3.1898163429577835,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,26.9,26.9,matthew stafford,69.0,1.0,1.0,0.0,0.99,1.0,matthew stafford,101.35,13.2,-13.7,27.040000000000003,5.853333333333335,0.0,0.0,0,1,0,0,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,11,REG,2025_11_SEA_LA,LA,SEA,15,28,130,2,0,0,0,0,0,146,74,6,-4.049926161009353,-16.569474449864142,0,0.8904109589041096,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,13.2,13.2,matthew stafford,51.0,1.0,1.0,0.0,0.99,1.0,matthew stafford,101.35,22.92,9.720000000000002,22.313333333333333,-4.72666666666667,0.0,0.0,1,0,0,0,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,12,REG,2025_12_TB_LA,LA,TB,25,35,273,3,0,1,-10,0,0,249,112,16,8.219429925997625,4.716209366041071,0,1.0963855421686748,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,22.92,22.92,matthew stafford,56.0,1.0,1.0,0.0,1.0,1.0,matthew stafford,101.35,11.62,-11.300000000000002,21.006666666666668,-1.3066666666666649,0.0,0.010000000000000009,0,0,0,1,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,13,REG,2025_13_LA_CAR,LA,CAR,18,28,243,2,2,2,-16,1,1,221,124,12,-3.512069752730895,3.445204650914228,0,1.0995475113122173,1,-1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,11.62,11.62,matthew stafford,52.0,1.0,1.0,0.0,1.0,1.0,matthew stafford,101.35,23.24,11.62,15.913333333333334,-5.093333333333334,0.0,0.0,1,0,0,0,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,14,REG,2025_14_LA_ARI,LA,ARI,22,31,281,3,0,0,0,0,0,223,96,13,15.409675605792277,4.055153458349166,0,1.2600896860986548,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,23.24,23.24,matthew stafford,58.0,0.83,0.83,0.0,0.9575,1.0,matthew stafford,101.35,20.92,-2.3199999999999967,19.26,3.3466666666666676,0.0,-0.04249999999999998,0,1,0,0,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,15,REG,2025_15_DET_LA,LA,DET,24,38,368,2,1,2,-8,0,0,471,120,20,8.236465174336454,-0.5515403653445997,0,0.7813163481953291,1,2,0,0,0,0,-0.7871588605921715,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,20.92,20.92,matthew stafford,72.0,1.0,1.0,0.0,0.9575,1.0,matthew stafford,101.35,30.880000000000003,9.96,18.593333333333334,-0.6666666666666679,0.0,0.0,1,0,0,0,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,16,REG,2025_16_LA_SEA,LA,SEA,29,49,457,3,0,0,0,0,0,477,208,17,26.13978706189596,-2.744625757137934,0,0.958071278825996,2,6,0,0,0,0,-0.5652381323743612,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,30.880000000000003,30.880000000000003,matthew stafford,92.0,1.0,1.0,0.0,0.9575,1.0,matthew stafford,101.35,12.759999999999998,-18.120000000000005,25.013333333333335,6.420000000000002,0.0,0.0,0,1,0,0,1,2,0
00-0026498,M.Stafford,matthew stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",2025,17,REG,2025_17_LA_ATL,LA,ATL,22,38,269,2,3,3,-21,0,0,513,120,10,-2.7485058022919,-3.0521249605549707,0,0.5243664717348928,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,1.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,12.759999999999998,12.759999999999998,matthew stafford,65.0,1.0,1.0,0.0,0.9575,1.0,matthew stafford,101.35,26.66,13.900000000000002,21.52,-3.493333333333336,0.0,0.0,1,0,0,0,1,2,0
